open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1649808000000,0.95400000,0.98100000,0.93400000,0.97400000,83269578.60000000,1649894399999,79890065.97980000,112129,43065996.80000000,41359045.24590000,0
1649894400000,0.97400000,0.98500000,0.92300000,0.93300000,84093379.20000000,1649980799999,80111053.20670000,118462,38912059.10000000,37117778.64410000,0
1649980800000,0.93300000,0.95900000,0.92900000,0.95600000,42541809.70000000,1650067199999,40346404.52140000,64036,20926706.70000000,19851156.17230000,0
1650067200000,0.95500000,0.96200000,0.93700000,0.95100000,36809858.40000000,1650153599999,34998947.70040000,55559,17676225.80000000,16816860.47760000,0
1650153600000,0.95000000,0.96300000,0.91200000,0.91400000,42819442.00000000,1650239999999,40310611.73530000,68140,19981291.10000000,18825894.14940000,0
1650240000000,0.91400000,0.93900000,0.87400000,0.93700000,118870539.60000000,1650326399999,107348406.18140000,157240,58326637.10000000,52740274.83790000,0
1650326400000,0.93600000,0.95700000,0.92700000,0.95200000,75432689.70000000,1650412799999,70879191.94390000,95583,37647394.20000000,35390633.75930000,0
1650412800000,0.95200000,0.97600000,0.93000000,0.93700000,93644303.60000000,1650499199999,89151003.94770000,125231,45069296.40000000,42939466.93510000,0
1650499200000,0.93700000,0.97100000,0.89100000,0.91000000,105007978.40000000,1650585599999,98683813.64590000,150741,50937770.00000000,47903038.38220000,0
1650585600000,0.91000000,0.92400000,0.89100000,0.90600000,82391016.70000000,1650671999999,74969570.34520000,96782,38366222.90000000,34929641.67230000,0
1650672000000,0.90600000,0.91300000,0.88100000,0.88600000,34559067.50000000,1650758399999,30978218.32970000,56634,15812715.80000000,14181225.45640000,0
1650758400000,0.88600000,0.89900000,0.87700000,0.88600000,49191017.00000000,1650844799999,43699800.47420000,70622,22550246.90000000,20038357.44570000,0
1650844800000,0.88500000,0.90390000,0.82610000,0.89740000,171944524.50000000,1650931199999,148027393.73861000,277318,82475298.60000000,70974176.42565000,0
1650931200000,0.89750000,0.90300000,0.81500000,0.82590000,176710067.00000000,1651017599999,151087067.46235000,273090,80509678.40000000,68921649.90842000,0
1651017600000,0.82580000,0.85620000,0.81870000,0.84010000,148780516.90000000,1651103999999,124685106.18968000,234750,75378198.00000000,63182492.47582000,0
1651104000000,0.84010000,0.85260000,0.82580000,0.84320000,134885232.90000000,1651190399999,113478674.58921000,189397,67156437.80000000,56494787.57569000,0
1651190400000,0.84320000,0.84950000,0.78910000,0.80480000,139320128.30000000,1651276799999,113905864.56138000,193102,66368800.50000000,54269104.62286000,0
1651276800000,0.80500000,0.81790000,0.73510000,0.75560000,147364161.34000000,1651363199999,115290631.74037000,209037,70694875.00000000,55392645.43586000,0
1651363200000,0.75550000,0.80020000,0.74510000,0.78950000,137793227.30000000,1651449599999,106582681.54010000,207348,66750097.40000000,51633074.20730000,0
1651449600000,0.78940000,0.79680000,0.76360000,0.78090000,128907016.80000000,1651535999999,100687424.37431000,191863,64656968.60000000,50500094.06167000,0
1651536000000,0.78080000,0.79940000,0.76050000,0.77110000,96429722.50000000,1651622399999,75410127.88362000,144918,47925179.40000000,37463768.15689000,0
1651622400000,0.77120000,0.89920000,0.76770000,0.89850000,256649760.00000000,1651708799999,213655126.17362000,413280,131688959.40000000,109579531.29404000,0
1651708800000,0.89860000,0.90580000,0.77160000,0.78840000,364970629.30000000,1651795199999,304513975.74832000,574367,179080877.30000000,149545531.51579000,0
1651795200000,0.78840000,0.79970000,0.76250000,0.78320000,244058670.20000000,1651881599999,191381224.54187000,367204,121818653.30000000,95537447.27456000,0
1651881600000,0.78320000,0.78580000,0.74670000,0.76040000,126808896.00000000,1651967999999,97951871.70325000,173806,60759914.60000000,46957053.63092000,0
1651968000000,0.76050000,0.76630000,0.72540000,0.74030000,175139530.39000000,1652054399999,130209850.91065200,236153,84619664.60000000,62924917.21428000,0
1652054400000,0.74040000,0.75420000,0.59760000,0.60190000,472342566.94000000,1652140799999,315923785.34239200,741784,227186490.32000000,151909271.72451400,0
1652140800000,0.60250000,0.70100000,0.58330000,0.62860000,436850308.60000000,1652227199999,283217801.10111000,751497,219301763.50000000,142231857.46170000,0
1652227200000,0.62860000,0.66310000,0.47270000,0.51870000,623456066.51000000,1652313599999,361445760.60107500,1045207,300556900.44000000,174695898.93939200,0
1652313600000,0.51860000,0.55080000,0.40190000,0.47330000,815465798.46000000,1652399999999,375840228.05598600,1165637,405974288.50000000,187367607.63957000,0
1652400000000,0.47330000,0.60940000,0.46890000,0.52900000,458070252.80000000,1652486399999,253922648.53897000,695710,225640585.10000000,125049327.88592000,0
1652486400000,0.52890000,0.55720000,0.48880000,0.53720000,253441055.60000000,1652572799999,132311337.37410000,422322,125166336.90000000,65364448.60597000,0
1652572800000,0.53740000,0.59990000,0.51480000,0.59810000,195264575.40000000,1652659199999,108585670.20941000,327792,97691998.80000000,54375488.68431000,0
1652659200000,0.59820000,0.61460000,0.54440000,0.55690000,280903516.10000000,1652745599999,159793334.64289000,465282,134195479.80000000,76346603.27610000,0
1652745600000,0.55690000,0.59990000,0.55110000,0.57780000,178084619.60000000,1652831999999,102370872.29060000,315535,88401271.60000000,50811297.99984000,0
1652832000000,0.57760000,0.58630000,0.50260000,0.50590000,203077123.90000000,1652918399999,109204097.70007000,325319,98787500.20000000,53106646.98056000,0
1652918400000,0.50590000,0.54670000,0.49170000,0.53340000,205816006.70000000,1653004799999,107511001.86500000,310518,101921911.90000000,53230393.70054000,0
1653004800000,0.53340000,0.54500000,0.50120000,0.51620000,174293262.60000000,1653091199999,91285754.18405000,258211,88466784.10000000,46320019.98231000,0
1653091200000,0.51620000,0.53880000,0.50860000,0.52860000,85487336.00000000,1653177599999,45014383.53085000,134493,42063455.40000000,22149024.98364000,0
1653177600000,0.52860000,0.54880000,0.52190000,0.54160000,104514258.80000000,1653263999999,56137371.78749000,149250,51878916.10000000,27896334.08051000,0
1653264000000,0.54160000,0.55950000,0.50390000,0.51340000,189427959.80000000,1653350399999,101951558.22317000,271571,95461197.20000000,51366397.74152000,0
1653350400000,0.51330000,0.52550000,0.49270000,0.52190000,170905795.60000000,1653436799999,87550942.76270000,177961,83721980.30000000,42889155.95733000,0
1653436800000,0.52180000,0.53280000,0.50710000,0.51460000,133554250.30000000,1653523199999,69046651.59821000,145961,65738876.10000000,33974863.55584000,0
1653523200000,0.51450000,0.52100000,0.46140000,0.47890000,243664954.10000000,1653609599999,119303698.33202000,255129,119737412.70000000,58609269.57727000,0
1653609600000,0.47880000,0.48390000,0.44540000,0.45660000,268406015.60000000,1653695999999,123982040.01051000,278146,132187406.40000000,61078410.27387000,0
1653696000000,0.45660000,0.46930000,0.44810000,0.46460000,105935970.40000000,1653782399999,48699017.69142000,111150,52981406.30000000,24361722.22343000,0
1653782400000,0.46460000,0.48270000,0.45590000,0.48200000,88626528.90000000,1653868799999,41608754.06332000,97923,46065144.50000000,21628684.56862000,0
1653868800000,0.48190000,0.57770000,0.47720000,0.56980000,259278313.40000000,1653955199999,137534136.01408000,322644,134510610.10000000,71387427.77757000,0
1653955200000,0.56980000,0.68930000,0.56780000,0.62680000,663619489.70000000,1654041599999,419357527.62486000,1006434,331524738.30000000,209395401.95672000,0
1654041600000,0.62660000,0.63140000,0.53590000,0.55160000,355477399.60000000,1654127999999,207077770.67488000,455720,174782896.50000000,101776792.52181000,0
1654128000000,0.55170000,0.59810000,0.54870000,0.58710000,306125734.20000000,1654214399999,175597999.00685000,410361,154833926.70000000,88834336.56909000,0
1654214400000,0.58720000,0.60550000,0.53900000,0.56000000,206257910.90000000,1654300799999,116992848.81495000,300561,102831989.50000000,58317588.42559000,0
1654300800000,0.56000000,0.57180000,0.54490000,0.56650000,108779268.90000000,1654387199999,60846034.84104000,166996,54374282.10000000,30424849.38977000,0
1654387200000,0.56660000,0.58080000,0.55380000,0.56740000,95277593.60000000,1654473599999,54027559.10099000,126913,48975962.90000000,27785244.47815000,0
1654473600000,0.56750000,0.64720000,0.56510000,0.60910000,341502376.80000000,1654559999999,210111671.92015000,453386,174556496.70000000,107446478.06378000,0
1654560000000,0.60910000,0.64500000,0.57150000,0.61410000,338812294.70000000,1654646399999,205352604.40458000,471354,167261866.90000000,101405095.98204000,0
1654646400000,0.61400000,0.66960000,0.60870000,0.64080000,394267374.70000000,1654732799999,253883949.48087000,581779,196220274.40000000,126388176.58922000,0
1654732800000,0.64070000,0.65790000,0.62580000,0.63230000,192310885.50000000,1654819199999,123401495.81414000,282642,96223569.20000000,61773899.05154000,0
1654819200000,0.63230000,0.63610000,0.57000000,0.57440000,272263844.10000000,1654905599999,162542356.57568000,358386,136142775.40000000,81222370.52345000,0
1654905600000,0.57440000,0.61750000,0.54300000,0.55400000,300758115.70000000,1654991999999,172700700.11280000,374455,149315564.60000000,85758926.11045000,0
1654992000000,0.55410000,0.56100000,0.48930000,0.49040000,397530507.90000000,1655078399999,206803633.39901000,469363,194256087.40000000,101105889.40628000,0
1655078400000,0.49040000,0.49850000,0.43660000,0.46440000,761583537.40000000,1655164799999,352962846.74877000,852871,378622633.80000000,175576025.33645000,0
1655164800000,0.46420000,0.52000000,0.43690000,0.48310000,609069303.40000000,1655251199999,294811430.56791000,744052,303383282.90000000,146971066.81698000,0
1655251200000,0.48310000,0.53930000,0.44830000,0.53480000,628287744.00000000,1655337599999,303575079.58861000,794143,318238258.50000000,153868592.90912000,0
1655337600000,0.53470000,0.54720000,0.46730000,0.47620000,360176076.10000000,1655423999999,180247004.87872000,447662,177855293.70000000,88975462.33456000,0
1655424000000,0.47620000,0.50400000,0.47170000,0.48720000,221261441.40000000,1655510399999,108323356.32765000,268808,107184324.40000000,52473069.30131000,0
1655510400000,0.48710000,0.49530000,0.42060000,0.45490000,383466178.70000000,1655596799999,174806284.46655000,434016,188754268.20000000,86037405.45981000,0
1655596800000,0.45480000,0.49000000,0.43590000,0.48480000,304390171.70000000,1655683199999,140851798.29959000,352806,153614063.90000000,71092480.99970000,0
1655683200000,0.48490000,0.50880000,0.46130000,0.49150000,309797825.10000000,1655769599999,150592838.51178000,373869,152800252.60000000,74271890.33921000,0
1655769600000,0.49150000,0.51140000,0.47510000,0.48130000,269304587.00000000,1655855999999,133582879.81690000,336782,135015286.50000000,66974851.02379000,0
1655856000000,0.48130000,0.48150000,0.45590000,0.45940000,203592970.70000000,1655942399999,95339778.91015000,235107,97561351.80000000,45698654.52262000,0
1655942400000,0.45940000,0.48310000,0.45630000,0.48000000,160787911.20000000,1656028799999,75878540.69780000,175347,81747218.60000000,38588633.80883000,0
1656028800000,0.48000000,0.50970000,0.47620000,0.49810000,241562561.80000000,1656115199999,119934896.12403000,274333,120407724.10000000,59774316.24439000,0
1656115200000,0.49820000,0.50780000,0.47830000,0.49840000,142417111.70000000,1656201599999,70381037.05771000,168307,68803509.80000000,34009313.49437000,0
1656201600000,0.49850000,0.52600000,0.48850000,0.48990000,211856675.90000000,1656287999999,107772457.29959000,249977,105772025.00000000,53804316.87672000,0
1656288000000,0.48990000,0.50880000,0.47560000,0.48560000,157303921.40000000,1656374399999,77606254.36506000,179939,79453603.20000000,39208187.63621000,0
1656374400000,0.48550000,0.49750000,0.46710000,0.46940000,163559982.80000000,1656460799999,78948406.06234000,186022,78703385.90000000,38002713.98739000,0
1656460800000,0.46930000,0.47720000,0.45880000,0.46620000,166130162.20000000,1656547199999,77773512.88053000,171783,79642286.40000000,37290048.81748000,0
1656547200000,0.46620000,0.46770000,0.43520000,0.45990000,212174584.90000000,1656633599999,95075676.72616000,216004,106495608.10000000,47720104.26400000,0
1656633600000,0.45990000,0.47500000,0.44270000,0.44870000,182788187.10000000,1656719999999,83081567.68070000,182713,90547200.60000000,41168927.24160000,0
1656720000000,0.44870000,0.46170000,0.44080000,0.45590000,109165380.70000000,1656806399999,49191448.48722000,103433,54511257.60000000,24560752.90044000,0
1656806400000,0.45580000,0.46000000,0.44360000,0.45610000,90832805.90000000,1656892799999,41041921.16475000,92146,45450204.00000000,20539076.68531000,0
1656892800000,0.45600000,0.47650000,0.44450000,0.46950000,196991430.20000000,1656979199999,90547253.01091000,184438,97916231.90000000,45009548.43524000,0
1656979200000,0.46950000,0.47170000,0.44470000,0.45710000,171538047.70000000,1657065599999,78479359.61598000,159310,82749025.60000000,37860964.76144000,0
1657065600000,0.45710000,0.46560000,0.44700000,0.46230000,139221841.00000000,1657151999999,63728969.98517000,126851,70034300.90000000,32068575.59936000,0
1657152000000,0.46230000,0.48270000,0.46090000,0.47760000,142206515.10000000,1657238399999,66929708.46981000,131996,72476935.80000000,34116932.32261000,0
1657238400000,0.47750000,0.49300000,0.46000000,0.46610000,170807637.30000000,1657324799999,80808813.22228000,180769,84870910.10000000,40157789.06687000,0
1657324800000,0.46610000,0.48490000,0.46530000,0.47800000,100774030.70000000,1657411199999,48163760.13868000,116114,49465696.60000000,23644220.99802000,0
1657411200000,0.47810000,0.47980000,0.45520000,0.46240000,115262368.10000000,1657497599999,53751291.74261000,109497,54031048.70000000,25190426.15197000,0
1657497600000,0.46250000,0.46280000,0.43160000,0.43470000,162045832.10000000,1657583999999,72500824.71716000,165486,76861826.20000000,34383623.09652000,0
1657584000000,0.43470000,0.44250000,0.41560000,0.41710000,139595801.60000000,1657670399999,60188310.95787000,132808,67572021.50000000,29143478.13447000,0
1657670400000,0.41710000,0.44220000,0.40230000,0.43830000,265120837.40000000,1657756799999,111631781.47776000,219814,132163289.30000000,55676230.91374000,0
1657756800000,0.43830000,0.44650000,0.41700000,0.44160000,208166850.30000000,1657843199999,89817605.08748000,161281,105365446.40000000,45477827.63353000,0
1657843200000,0.44170000,0.45360000,0.43260000,0.44210000,187707381.70000000,1657929599999,82956659.08532000,149271,97110731.30000000,42938343.47677000,0
1657929600000,0.44210000,0.45910000,0.43160000,0.45780000,147996093.00000000,1658015999999,66098071.70082000,132608,74143492.20000000,33126978.78578000,0
1658016000000,0.45780000,0.46600000,0.44210000,0.44780000,153582187.80000000,1658102399999,69559410.06062000,137153,76717843.70000000,34754855.23951000,0
1658102400000,0.44780000,0.49980000,0.44570000,0.49040000,383712607.40000000,1658188799999,184055804.57396000,353973,189987243.40000000,91114076.89519000,0
1658188800000,0.49040000,0.52600000,0.47330000,0.51520000,386358308.60000000,1658275199999,192345105.51031000,391077,198125136.30000000,98676939.88965000,0
1658275200000,0.51520000,0.54870000,0.48680000,0.49100000,389779718.70000000,1658361599999,202518393.71977000,408063,193278403.40000000,100505192.19055000,0
1658361600000,0.49100000,0.50230000,0.47560000,0.49930000,261898181.10000000,1658447999999,127916182.75465000,247529,127097139.20000000,62107678.67944000,0
1658448000000,0.49940000,0.51140000,0.47700000,0.48280000,200329666.40000000,1658534399999,99432126.04535000,196336,97861098.20000000,48600240.63722000,0
1658534400000,0.48270000,0.51860000,0.47300000,0.51700000,199660186.40000000,1658620799999,98131475.97387000,207295,98958254.80000000,48632264.06779000,0
1658620800000,0.51710000,0.53680000,0.50950000,0.51200000,233306136.50000000,1658707199999,121580637.36585000,271496,117077962.20000000,61042635.91257000,0
1658707200000,0.51200000,0.51540000,0.48890000,0.49440000,69148823.70000000,1658793599999,34380812.45592000,75712,31981421.20000000,15890958.21649000,0
